title,author,book_description,
태백산맥,조정래,"한국 현대사를 배경으로, 남북 분단과 이념 갈등 속에서 평범한 사람들의 삶과 고통, 투쟁을 세밀하게 그린 대하소설.",
칼의 노래,김훈,"조선 시대 이순신 장군의 내면과 인간적 고뇌, 전쟁 속에서의 결단과 의무감을 깊이 있게 탐구한 역사 소설.",
토지,박경리,"일제강점기부터 해방까지의 한국 농촌을 배경으로, 양반과 평민, 지주와 소작농 등 다양한 인물들의 삶과 사랑, 갈등을 세밀하게 그린 대하소설. 사회적 격변 속에서 인간의 욕망과 운명을 깊이 탐구한다.",
당신들의 천국,이청준,"사회적 억압과 부조리 속에서 인간의 욕망과 권력, 자유를 탐구하며, 현실과 이상 사이의 갈등을 그린 소설.",
바람과 함께 사라지다,마거릿 미첼,"미국 남북전쟁과 남부 재건 시대를 배경으로, 스칼렛 오하라의 사랑과 생존, 사회적 변화 속에서의 인간의 집착과 회복력을 그린 장편 소설. 개인의 욕망과 역사적 사건이 교차한다.",
파친코,이민진,"한 한국인 가정이 일본에서 겪는 세대 간의 차별과 생존 이야기를 중심으로, 가족의 사랑과 희생을 그린 소설.",
자기 앞의 생,로맹 가리,"프랑스 식민지 시대 알제리에서 고아 소녀 ‘엠마누엘’을 중심으로, 가난과 사회적 차별 속에서도 인간애와 연대, 성장의 의미를 탐구하는 감동적인 소설. 삶의 현실과 인간적 따뜻함을 동시에 보여준다.",
슬픔이여 안녕,프랑수아즈 사강,"한 청년의 삶과 사랑, 죽음을 통해 인간 존재의 덧없음과 슬픔을 성찰하는 자전적 소설.",
월든,헨리 데이비드 소로,헨리 데이비드 소로가 자연 속에서 자급자족하며 단순한 삶과 자기 성찰을 실천한 경험을 기록한 철학적 에세이.,
백년 동안의 고독,가브리엘 가르시아 마르케스,"부엔디아 가문의 여러 세대에 걸친 사랑, 욕망, 운명을 환상적 요소와 함께 그린 마술적 리얼리즘 소설.",
종의 기원,정유정,"인간의 본성과 폭력성을 탐구하는 심리 스릴러로, 주인공들이 연쇄 살인범과 맞닥뜨리며 생존과 도덕적 선택의 경계를 경험하는 이야기다.",
소년이 온다,한강,"소년이 온다는 1980년 5·18 광주 민주화운동과 그 이후를, 중학생 동호와 주변 인물들의 내면을 통해 그리는 소설입니다",
7년의 밤,정유정,"7년의 밤은 우발적 사고로 소녀를 죽인 최현수와 딸의 복수를 노리는 오영제, 그리고 그 아들과 목격자의 7년에 걸친 악연을 그린다.",
시간을 달리는 소녀,츠츠이 야스타카,"시간을 달리는 소녀는 자전거 사고 후 타임리프 능력을 얻은 여고생 마코토가 사소한 일들을 바꾸다 친구들의 삶에 파장을 일으키고, 미래에서 온 치아키와 이별하며 ‘미래에서 기다릴게’라는 말을 남기는 이야기입니다.",
나는 나를 파괴할 권리가 있다,김영하,자살안내인’이라는 기괴한 직업을 가진 화자를 등장시켜 그가 만난 ‘고객’들의 일탈적 삶과 죽음을 이야기한다.,
인간 실격,다자이 오사무,청춘의 한 시기를 통과 의례처럼 거쳐야 하는 일본 데카당스 문학의 대표작 오직 순수함만을 갈망하던 여린 심성의 한 젊은이가 인간들의 위선과 잔인함에 의해 파멸되어 가는 과정을 그린 소설.,
화차,미야베 미유키,사라진 여자를 쫓는 남자의 추적을 통해 인간의 욕망을 드러낸 미스터리 소설.,
심판,프란츠 카프카,주인공 피고인 요제프 K는 아무런 이유도 없이 어느 날 아침 체포된다. 불가해한 상황에 처해 어떤 도움도 받지 못하고 부조리에 대항하여 싸우게 된다. 최후의 발판조차 빼앗겨서 설 자리와 자신의 지향점을 상실한 고독한 존재의 몸부림을 그리고 있다.,
이방인,알베르 카뮈,"이방인은 프랑스령 알제리의 평범한 직장인 뫼르소가 어머니의 죽음과 우발적 살인을 거쳐 사형 선고를 받고, 감옥에서 세계의 무관심을 받아들이며 자신의 삶을 긍정하는 이야기입니다.",
달,히라노 게이치로," 사악한 뱀과의 인연이라는 태생의 업보를 짊어진 아름다운 여인, 그리고 그녀를 사모하는 젊은 시인의 꿈과 죽음에 대한 이야기를 그리고 있다.",
"그해, 여름 손님",안드레 애치먼,"감각적인 언어로 피아노 연주와 책이 삶의 전부인 열일곱 소년 엘리오와 스물넷의 미국인 철학교수 올리버, 두 남자의 사랑을 섬세하게 그려낸 작품이다.",
봉순이 언니,공지영,봉순이 언니는 가난한 가정에서 태어나 고아원을 거쳐 서울로 올라와 짱아네 집 식모가 된 봉순이의 비극적 삶과 끝내 포기하지 않는 희망을 그린 이야기입니다.,
쇼코의 미소,최은영,"이해와 용서, 관계의 온도를 섬세하게 포착한 단편집.",
바깥은 여름,김애란,"한 여름 동안 벌어지는 일상과 인간관계를 섬세하게 그린 소설로, 가족과 친구, 이웃 간의 갈등과 화해, 성장과 사랑을 중심으로 전개된다. 소설은 계절의 변화와 함께 인물들의 내면 변화를 조용히 관찰하며, 소소하지만 의미 있는 일상의 순간들을 담아낸다.",
달러구트 꿈 백화점,이미예,잠들어야만 입장 가능한 꿈 백화점에서 일어나는 비밀스럽고도 기묘하며 가슴 뭉클한 판타지 소설,
아몬드,손원평,아몬드는 감정을 느끼지 못하는 소년 윤재가 가족을 잃은 뒤 곤이와 도라를 만나며 감정을 배워가는 성장 이야기입니다.,
불편한 편의점,김호연, 『불편한 편의점』은 청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아낸 작품이다.,
미드나잇 라이브러리,매트 헤이그,"죽기로 결심한 주인공 ‘노라 시드’가 삶과 죽음 사이에 존재하는 미스터리한 도서관 ‘미드나잇 라이브러리’에서 눈을 뜨며 인생의 두 번째 기회를 얻는 이 소설은, 노라의 가장 완벽한 삶을 찾는 모험을 따라가며 ‘살아 있음’과 ‘살아가는 것’에 대한 깊은 통찰을 보여준다.",
괴테는 모든것을 말했다,스즈키 유이,"한 가족의 일상을 통해 사랑과 언어, 문학의 본질을 탐구한다. 괴테, 니체부터 보르헤스, 말라르메까지 방대한 인문학 지식이 소설 곳곳에 녹아 있지만, 어딘가 어리숙하고 사랑스러운 인물들과 어우러져 난해하지 않게 다가온다. 잔잔하게 흘러가던 일상이 후반부로 가며 서로 연결되고, 저마다 다른 인물들이 하나가 되어간다. 학문과 일상, 고전과 현대가 각자의 개성을 유지하면서도 아름답게 어우러지는 이 소설은, 사랑의 온기로 모든 것을 다시 읽어내는 이야기이다.",
절창,구병모,"‘절창切創’은 ‘베인 상처’라는 뜻으로, 상처에 접촉하는 것으로 상대의 마음을 읽는 한 여성의 이야기를 담고 있다. 언어로 쉽사리 정의 내릴 수 없는 기이한 사랑 이야기이기도 한 이 소설은 오독을 전제하지 않고는 읽을 수 없는 타인이라는 영원한 텍스트를 독해하고자 하는 행위, 그리고 그 행위의 가능성과 불가능성에 대한 깊은 성찰로 나아간다",
프로젝트 헤일메리,앤디 위어,"우주선의 이름인 ‘헤일메리호’도 지구를 종말로부터 구하기 위한 마지막 역전을 바라는 마음에 지어졌다. 주인공이 긴 수면 끝에 눈을 뜬 곳은 우주 한복판이었다. 하지만 그는 자신의 이름조차 기억하지 못한다. 설상가상으로 함께 우주선 헤일메리호에 탄 동료들은 모두 죽고 혼자가 된 상황이다. 헤일메리호를 샅샅이 뒤진 끝에, 그는 한 가지 사실을 깨닫는다. 그는 인류를 구할 마지막 희망이자, 우주 한복판에서 죽을 예정인 과학자였다는 것을.",
급류,정대건,"아빠와 함께 수영을 하러 갔던 도담이 한눈에 인상적인 남자아이 ‘해솔’이 물에 빠질 뻔한 것을 구하러 뛰어들며 둘의 인연은 시작된다. 운명적이고 낭만적으로 보이는 첫 만남 이후 둘은 모든 걸 이야기하고 비밀 없는 사이가 되지만, 그 첫사랑이 잔잔한 물처럼 평탄하지만은 않다. 모르는 사이에 디뎌 빠져나올 수 없이 빨려드는 와류처럼 둘의 관계는 우연한 사건으로 다른 국면을 맞이한다.",
사탄탱고,크러스너호르커이 라슬로,"공산주의가 붕괴되어가던 1980년대 헝가리. 해체된 집단농장의 마을에 남아 가난과 불신의 늪에 빠져 무기력한 삶을 보내던 이들 사이에 소문이 돌기 시작한다. 1년 반 전에 죽은 것으로 알려진 이리미아시가 마을로 돌아온다는 것이다. 압도적인 카리스마를 지닌 그가 가을장마의 시작과 함께 귀환한다는 소식에 마을 사람들은 절망적인 삶에서 탈출할 수 있으리라는 달콤한 꿈에 부푸는 한편, 무언지 알 수 없는 두려움과 불안감에 시달리는데…",
스토너,존 월리엄스,"스토너는 고향에 돌아가는 대신 대학에 남아 영문학도의 길을 택한다. 사랑하는 여인과 결혼해 가정을 이루고 교수가 되지만 어느 순간 가족과 동료들로부터 고립되어 슬프고 쓸쓸한 삶을 살아간다. 세계대전과 대공황 속에서도 개인적인 불행과 사랑의 실패에 시달리면서도, 갑작스러운 병마와 싸우면서도 그는 일생을 바친 자신의 연구처럼 마지막까지 자기 자신으로 살고자 한다. 자신의 일생을 통해 무언가를 증명하려는 듯 말이다.",
설국,가와바타 야스나리,"『설국』은 눈 덮인 아름다운 자연 풍경을 특유의 감각적인 문체로 섬세하게 그려 내고 있다. 그 위에, 그러한 자연과 대비되는 유한한 인간 존재를 주인공의 내밀한 의식의 목소리로 형상화시키고 있다. 그렇기에 이 작품의 배경이 되는 ‘설국’은 단순히 어느 지방의 이름이 아니라, 자연과 인간이 극명하게 대비되는 상징의 세계 그 자체이다.",
왜 나는 너를 사랑하는가,알랭 드 보통," 이 책은 사랑에 관한 철학적 명상으로 가득 차 있다. 아리스토텔레스, 비트겐슈타인, 마르크스, 역사, 종교, 문학을 끌어들여, 첫 키스부터 말다툼, 그리고 화해에 이르기까지, 또 친밀함과 부드러움부터 불안과 상심에 이르기까지 연애의 진전을 그려냈다.",
가공범,히가시노 게이고,불에 탄 저택에서 유명 정치인과 전직 배우 부부의 시체가 발견된다. 화려한 삶을 살아온 이들에게 무슨 일이 벌어진 걸까? 두 사람은 무슨 비밀을 끌어안고 있는 것일까? 고다이 형사는 좀처럼 풀리지 않는 사건의 실마리를 풀기 위해 일본 전역을 동분서주 돌아다닌다. 이 과정에서 그가 느낀 사소한 의심이 쌓여 마침내 사건이 품고 있던 엄청난 비밀이 밝혀진다.,
어스탐 경의 임사전언,이영도,어스탐 로우는 심장에 단도가 꽂혀 누군가에게 피살된 후 신비하게도 죽음에 이르지 않은채 4년동안 자신의 살해용의자를 밝힐 '임사전언'을 대하 소설로 집필하면서 벌어지는 소동을 판타지에 미스터리 추리 요소를 가미하여 완성해낸 소설이다. ,
홍학의 자리,정해연," 한 남자가 사체를 호수에 유기하는 장면으로 이야기의 문을 연다. “호수가 다현의 몸을 삼켰다”라는 문장으로 시작해 “그런데, 다현은 누가 죽였을까?”라는 문장으로 끝나는 프롤로그는 이것만으로 독자의 호기심을 불러일으키기 충분하다. 차근차근 쌓아 올려 절정의 순간 터지는 클라이맥스의 진상은 한국 미스터리에서 찾아보기 힘든 반전이 있다.",
앵무새 죽이기,하퍼 리,"1930년대 대공황의 여파로 피폐해진 미국의 모습과 사회계층 간, 인종 간의 첨예한 대립을 고스란히 녹여 낸 작품이다. 호감 가는 등장인물들, 우리네 사는 다정한 모습들을 담아낸 데다가 은둔하는 이웃에 얽힌 괴담, 신경줄을 팽팽하게 잡아당기는 재판 장면까지 더해 웃음과 긴장을 골고루 이끌어 내는 보기 드문 수작이다. 특히 비중 있게 다룬 흑인의 인권 문제는 정의와 양심, 용기와 신념이 무엇인지 자문의 기회를 제공할 것이다.",
사람은 무엇으로 사는가,레프 톨스토이,"이 책에 소개한 ‘작은 이야기’들은 톨스토이가 자신이 깨달은 바를 다른 모든 사람들과 나누기 위해 써 내려간 것이다. 글을 모르는 사람도 한번 들으면 기억할 수 있도록 간결하고 쉬운 언어를 사용했고, 대화 상대의 지위 고하에 상관없이 ‘너’라는 호칭을 사용하는 농민들의 언어생활을 그대로 반영했다. 이 ‘작은 이야기’ 안에는 인간 존재에 대한 연민과 삶에 대한 위대한 사랑이 담겨 있다.",
숲의 신,리즈 무어,"1975년 8월, 유서 깊은 캠프 프로그램에 참여한 소녀 바버라가 사라진다. 캠프 지도교사 루이즈는 책임을 피하려고 지난밤 자신이 자리를 비운 사실을 숨긴다. 사람들은 소녀의 행방을 찾기 위해 숲으로 향한다. 소녀의 오빠가 사라졌던 14년 전의 숲으로. 과거의 용의자와 현재의 용의자, 사라진 두 아이, 남은 가족과 캠프 사람들, 그리고 그들이 머무는 그 숲이 간직한 진실은 무엇일까?",
이처럼 사소한 것들,클레어 키건,"자신이 속한 사회 공동체의 은밀한 공모를 발견하고 자칫 모든 걸 잃을 수 있는 선택 앞에서 고뇌하는 한 남자의 내면을 그린 작품이다. 키건 특유의 섬세한 관찰과 정교한 문체로 한 인간의 도덕적 동요와 내적 갈등, 실존적 고민을 치밀하게 담아냈다.",
"오늘밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,"고등학교 2학년생 가미야 도루. 괴롭힘당하는 친구를 돕기 위해 나섰다가 의도치 않은 일에 휘말린다. “1반의 히노 마오리에게 고백하면 더 이상 괴롭히지 않을게.” 어쩔 수 없이 하게 된 거짓 고백. 히노는 세 가지 조건을 내걸고 고백을 받아들인다. “첫째, 학교 끝날 때까지 서로 말 걸지 말 것. 둘째, 연락은 되도록 짧게 할 것. 셋째, 날 정말로 좋아하지 말 것.” 그렇게 시작한 가짜 연애. 도루는 세 번째 조건을 깨고 고백을 하고 만다. “나는 병이 있어. 선행성 기억상실증이라고 하는데, 밤에 자고 일어나면 잊어버려. 그날 있었던 일을 전부.” 도루는 히노의 내일을 언제까지고 지켜줄 수 있을까?",
더럽혀진 성지 순례에 대하여,세스지," 프리랜서 편집자가 구독자 수가 저조한 심령 명소 탐방 유튜버 의 팬 북 출간을 성사시키기 위해, 유령을 볼 수 있는 여성을 섭외, 함께 심령 명소를 재취재하며 독자의 구미에 맞게 내용을 날조하는 이야기다. 입체적인 캐릭터, 탄탄한 스토리로 호러 장르를 넘어 본격 추리 소설로서의 성격 또한 뚜렷하며, 폐허가 된 공간을 소재로 세 인물이 나누는 대화는 실시간 방송을 연상시켜 이색적인 몰입감을 제공한다.",
저주받은 사람 중에 가장 축복받은,박지영,"운명처럼 주어진 저주 속에 머물며 간신히 축복이라 불러볼 수 있는 희망을 발견하려는 인물들이 등장한다. 그들은 탈모, 바이러스, 죄책감처럼 자신에게 주어진 비극적 운명을 받아들임과 동시에 그 안에 웅크리고 있을 축복의 요소를 찾아 계곡과 지하철, 히로시마와 베르사유를 헤맨다. 지나치게 현실적인 까닭에 씁쓸한 뒷맛을 남기는 날카로운 유머와 1983년 당시의 전체주의적 사회상을 두루 담고 있는 소설은 개개인에게 자괴감과 죄의식을 주입하는 시스템과 그럼에도 생을 이어가는 사람들의 불가해한 의지를 집요하게 추적해 펼쳐놓는다.",
행복한 죽음,알베르 카뮈,"이 작품에서 중점적으로 다루는 ‘행복한 죽음’에 대해 카뮈는 직접적으로 확답을 내리지 않는다. 메르소는 행복을 찾아 여행을 떠나지만 결국 죽음이라는 운명과 마주하게 된다. 이렇게 ‘행복’을 지나 ‘죽음’으로 나아가는 과정에 메르소의 사색을 담으며, 카뮈는 ‘행복한 죽음’에 대한 그 나름의 생각과 그의 작품세계를 관통하는 ‘부조리’라는 개념을 끄집어낸다.",
면도날,서머싯 몸,"삶의 의미를 발견하는 지점은 각자 다르지만, 인간은 누구나 자신의 방식으로 세상을 사랑한다. 작가는 이렇게 시끌벅적한 현실도 성스러움을 구현하는 장이 될 수 있음을 보여준다. 비정한 현실을 정면으로 마주하려는 젊은이들에게 용기를 선사하는 작품이다. 특히 이 작품에는 작가 자신이 소설 속 인물로 등장하여 인물들의 삶을 생생하게 전해준다.",
세상의 마지막 우체국,무라세 다케시,"무기력한 직장 생활을 버티게 도와준 아티스트의 죽음을 맞닥뜨린 1호 팬, 불우한 가정환경에서 자랐으나 다시 자립할 수 있게 도와준 아버지 같은 은인을 배신한 남자, 남편을 잃고 유일한 가족이었던 반려견을 부주의로 잃게 된 주인 등 이 책에 등장하는 다섯 사람은 어느 날 천국으로 편지를 보낼 수 있다는, ‘아오조라 우체국’의 존재를 알게 된다. 처음에는 망설였지만, 결국 전 재산을 걸고 값비싼 우표를 사서라도 편지를 보내는 사람들. 천국으로 간 소중한 이가 완전히 떠나기 전, 49일 안에 마음을 전하려 한다",
레슨,이언 매큐언,"소설은 과거와 현재를 교차하며 롤런드의 어린 시절부터 노년기까지 인생 전체를 밀도 있게 그려낸다. 서른일곱 살의 롤런드는 어느 날 아내 앨리사가 쪽지 한 장만 남긴 채 그와 한 살배기 아들 곁을 떠난 믿기 힘든 현실을 마주한다. 예상치 못한 사건은 그의 내면에 파동을 일으키고, 기억 속에 묻어두었던 과거의 인물을 소환한다. 그의 삶에 지진을 일으킨 사람, 평생토록 그의 삶을 쥐고 뒤흔들 사람, 피아노 선생 미리엄 코넬을.",
궤도,서맨사 하비,"거칠고 시끄러운 이 세상에서 잠시 멀어져, 인간이 지구 그리고 같은 인간에게 어떤 일을 하고 있는지 질문하고 천천히 성찰해 보게 한다. 서로 다른 국적과 생각, 사연을 가지고 있지만 고독한 우주선 안에서 하나가 된 우주비행사들의 새로운 유대를 비춘다. 광막한 우주를 마치 신처럼 지켜보는 동안 꼬리에 꼬리를 무는 이들의 끈질긴 사색은 필리핀을 덮치는 거대한 태풍, 불길에 맨살이 훤히 드러난 아마존, 50억 달러를 태우며 달을 향해 떠난 억만장자의 로켓, 인도와 파키스탄 사이에 길게 놓인 빛의 자취에 닿는다. 찬란하고 푸른 지구에 우리와 우리가 사랑하는 사람들이 ‘살고 있다’는 사실을 일깨우고, 변화를 꿈꾸게 하는 불꽃을 피운다.",
가시고기,조창인,삶의 전부인 아들은 백혈병에 걸렸다. 게다가 골수이식이 아니면 더 이상 희망이 없다. 아들을 위한 최선은 무엇일까. 아들을 살릴 수만 있다면 내 몸은 뜯어 먹혀도 좋은 가시고기 아빠의 숭고한 사랑이 책 속에 담겨있다.,
날씨가 좋으면 찾아가겠어요,이도우,"작은 독립서점 ‘굿나잇책방’을 운영하는 주인공 ‘임은섭’은 온화하고 진중한 성품이지만, 남몰래 고독과 성장통을 안고 살아온 인물. 어느 겨울, 서울 생활을 접고 어린 시절 자랐던 북현리로 돌아온 이웃집 동창 ‘목해원’은 그에게 잊고 지냈던 설렘을 선사한다.",
구의 증명,최진영,《구의 증명》은 사랑하는 연인의 갑작스러운 죽음 이후 겪게 되는 상실과 애도의 과정을 통해 삶의 의미 혹은 죽음의 의미를 되묻는 소설이다. 이 작품에서 최진영은 퇴색하지 않는 사랑의 가치를 전면에 내세우고 아름다운 문장과 감성적이며 애절한 감수성을 통해 젊고 아름다운 남녀의 열정적인 사랑과 냉정한 죽음에 대해 세련된 감성과 탁월한 문체로 담아내고 있다.,
프랑켄슈타인,메리 셸리,"프랑켄슈타인이라는 이름의 과학자가 시체를 조합해 소위 ‘인조인간’을 만든다는 이야기도 신을 벗어나 생명의 본질을 설명할 수 있다는 새로운 과학적 사고방식의 산물이다. 
과학과 이성의 힘으로 만들어낸 새로운 생명체를 보고 당황해 달아나는 주인공의 모습은, 과학기술이 더욱 발전한 미래가 낙관적이지만은 않을 거라는 예감을 보여준다. 프랑켄슈타인은 생명을 탄생시킬 수 있었지만, 그 생명으로 무엇을 어떻게 해야 할지 전혀 몰랐다. 결국, 그는 자신이 창조해낸 피조물에게 가족과 친지와 연인을 잃고 자신도 죽음을 맞는다.",
악의,히가시노 게이고,"『악의』는 ‘기록’을 통해 전개된다. 그리고 그 기록이 모두 진실을 향하는 것은 아니라는 것을, 작가는 독자에게 분명하게 알리고 공정한 두뇌 싸움을 시작한다. 자기 연민에 빠진 범인의 글과 감정을 배제한 담백한 형사의 기록, 서로 다른 개성을 가진 두 종류의 글을 번갈아 보면서 독자들은 시험에 빠진다.",
노인과 바다,어니스트 헤밍웨이,"한 노인의 실존적 투쟁과 불굴의 의지를 절제된 문장으로 강렬하게 그려냈다. 십여 년 동안 이렇다 할 작품을 내놓지 못했던 헤밍웨이는 이 작품을 통해 작가적 생명력을 재확인하고 삶을 긍정하는 성숙한 태도를 보여주었다. 개인주의와 허무주의를 넘어 인간과 자연을 긍정하고 진정한 연대의 가치를 역설한다. 감정을 절제한 문체와 사실주의 기법, 다양한 상징과 전지적 화법을 활용하여 작품의 깊이를 더했다.",
무진기행,김승옥,"1962년 등단작 '생명연습'부터 1977년 제1회 이상문학상 수상작인 '서울의 달빛 0장'까지, 20년도 채 안 되는 기간 동안 김승옥이 발표한 작품들이 담겨 있다. 작가의 작품들은 기존의 도덕적 상상력과 윤리적 세계관의 굴레에서 벗어나 자유롭고 감각적인 시선, 기발하고 섬세한 묘사로 현실과 환상을 조화롭게 담아내었다는 평을 받고 있다. 특히 '사회'라는 틀에서 벗어나 개인으로 시선을 돌려 개인의 감성과 감각에 의해 포착되는 현실을 치밀하게 묘사함으로써 이전 세대의 소설들이 지니지 못했던 독특함을 소설 속에 담은 것이 특징이다.",
달과 6펜스,서머싯 몸,『달과 6펜스』는 20세기 세계 문단에 가장 강렬한 인상을 남긴 작품으로 평가받을 만큼 주인공의 개성이 강하게 드러난다. 예술을 위해 예사로운 인정이라든가 정상적 인간성을 기꺼이 내팽개치는 찰스 스트릭랜드의 괴팍한 편력은 거의 악마에 가깝게 묘사되고 있다. “내 생각에 예술에서 가장 흥미로운 부분은 예술가의 개성이 아닐까 한다. 개성이 특이하다면 나는 천 가지 결점도 기꺼이 다 용서해 주고 싶다.”는 작품 초반 내레이터의 언급과 더불어 스트릭랜드의 악마적 예술혼과 비범한 천재성이 강하고 굵게 작품 전편을 관류한다. ,
긴키 지방의 어느 장소에 대하여,세스지,"허구를 사실처럼 전달하는 페이크 다큐멘터리, 즉 모큐멘터리 기법을 영리하게 활용한 『긴키 지방의 어느 장소에 대하여』는 “정보가 있으신 분은 연락 바랍니다. 긴키 지방의 어느 장소와 관련된 괴담을 수집하는 동안 무시무시한 사실을 알게 되었습니다”라는 문장을 앞세워 실제로 벌어진 듯한 실종 사건의 실마리를 좇으며 시종일관 섬뜩하면서도 긴박한 분위기를 이어간다.",
이별하는 방법을 가르쳐줘,이치조 미사키," 이 책은 진정한 이별에 관해, 인생에서 처음 겪어본, 단단히 발 딛고 선 일상이 무너져버린 듯한 상실과 그것을 제대로 애도하고 극복하는 일에 관해 이야기한다. 견딜 수 없는 상처와 도저히 받아들일 수 없는 고통을 경험한 히구치는 현실을 외면하고 상상의 세계로 도망친다. 아픔뿐인 현실이 거짓이고, 고통도 슬픔도 없는 상상의 세상이 진짜라고 믿으며 살아간다. 하지만 옆에서 묵묵히, 다정하게 곁을 지켜주며 히구치가 현실을 똑바로 바라보도록 이끌어주는 사람들이 있었기에 히구치는 한 발 한 발 나아가 진실과 마주할 수 있게 된다. ",
